"apgcode","occurrences"
"gun_7072","6783"
"gun_839","6783"
"gun_929","6780"
"gun_2728","6764"
"gun_4092","6764"
"gun_901","6758"
"gun_1114","6745"
"gun_1190","6745"
"gun_5340","6734"
"gun_1018","6732"
"gun_1106","6720"
"gun_4344","6720"
"gun_7832","6720"
"gun_863","6720"
"gun_869","6720"
"gun_893","6696"
"gun_1095","6693"
"gun_2190","6693"
"gun_8370","6688"
"gun_1172","6674"
"gun_823","6669"
"gun_811","6664"
"gun_8040","6660"
"gun_913","6660"
"gun_923","6660"
"gun_2795","6650"
"gun_799","6650"
"gun_7038","6643"
"gun_9200","6643"
"gun_2312","6624"
"gun_677","6622"
"gun_3536","6612"
"gun_815","6612"
"gun_905","6600"
"gun_3810","6596"
"gun_7620","6596"
"gun_862","6596"
"gun_959","6586"
"gun_797","6580"
"gun_877","6572"
"gun_4635","6570"
"gun_1023","6566"
"gun_2960","6565"
"gun_933","6560"
"gun_1364","6557"
"gun_1178","6555"
"gun_463","6555"
"gun_817","6555"
"gun_926","6555"
"gun_3510","6552"
"gun_857","6552"
"gun_931","6545"
"gun_917","6540"
"gun_9450","6534"
"gun_1142","6532"
"gun_3608","6528"
"gun_907","6525"
"gun_1150","6512"
"gun_1118","6510"
"gun_1011","6499"
"gun_2022","6499"
"gun_803","6499"
"gun_899","6480"
