"apgcode","occurrences"
"guntrue_6917","13407"
"guntrue_6959","13407"
"guntrue_9433","13407"
"guntrue_9461","13407"
"guntrue_9491","13407"
"guntrue_9497","13407"
"guntrue_1997","13392"
"guntrue_4463","13392"
"guntrue_4517","13392"
"guntrue_4523","13392"
"guntrue_4549","13392"
"guntrue_6037","13392"
"guntrue_6067","13392"
"guntrue_6079","13392"
"guntrue_6089","13392"
"guntrue_6133","13392"
"guntrue_6163","13392"
"guntrue_6211","13392"
"guntrue_6217","13392"
"guntrue_4937","13375"
"guntrue_5563","13375"
"guntrue_2293","13356"
"guntrue_2011","13340"
"guntrue_2027","13340"
"guntrue_2207","13312"
"guntrue_3637","13312"
"guntrue_4133","13312"
"guntrue_5581","13312"
"guntrue_5693","13312"
"guntrue_5749","13312"
"guntrue_7621","13312"
"guntrue_4127","13310"
"guntrue_2017","13298"
"guntrue_6007","13298"
"guntrue_8663","13284"
"guntrue_3541","13268"
"guntrue_4889","13268"
"guntrue_5507","13268"
"guntrue_8803","13268"
"guntrue_2083","13250"
"guntrue_1933","13230"
"guntrue_2221","13230"
"guntrue_2237","13230"
"guntrue_2269","13230"
"guntrue_4969","13230"
"guntrue_5659","13230"
"guntrue_1777","13176"
"guntrue_2039","13176"
"guntrue_2797","13176"
"guntrue_2833","13176"
"guntrue_2843","13176"
"guntrue_6841","13176"
"guntrue_6869","13176"
"guntrue_6947","13176"
"guntrue_8447","13176"
"guntrue_9239","13176"
"guntrue_9293","13176"
"guntrue_9319","13176"
"guntrue_9323","13176"
"guntrue_9403","13176"
"guntrue_1901","13161"
"guntrue_1973","13161"
"guntrue_4339","13161"
"guntrue_4423","13161"
"guntrue_4451","13161"
"guntrue_4457","13161"
"guntrue_4483","13161"
"guntrue_4493","13161"
"guntrue_6029","13161"
"guntrue_6091","13161"
"guntrue_6113","13161"
"guntrue_6151","13161"
"guntrue_3533","13144"
"guntrue_7577","13144"
"guntrue_3557","13125"
"guntrue_7649","13125"
"guntrue_1987","13110"
"guntrue_2003","13110"
"guntrue_2213","13104"
"guntrue_3581","13104"
"guntrue_4787","13104"
"guntrue_5651","13104"
"guntrue_1741","13082"
"guntrue_6547","13038"
"guntrue_6619","13020"
"guntrue_6691","13000"
"guntrue_4159","12960"
"guntrue_2719","12947"
"guntrue_2789","12947"
"guntrue_2803","12947"
"guntrue_2819","12947"
